Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-10-29,183.05,195.0,183.05,193.3,192.53,20075.0,538.0,3865126.0,7444.0,37.08,11.95,10.25
2018-10-30,193.1,205.3,192.25,196.75,196.48,23797.0,605.0,4675612.0,5219.0,21.93,13.05,3.65
2018-10-31,198.0,204.75,197.7,201.75,201.59,19984.0,419.0,4028647.0,4113.0,20.58,7.05,3.75
2018-11-01,203.75,207.8,200.9,206.45,204.9,14636.0,319.0,2998869.0,4524.0,30.91,6.9,2.7
2018-11-02,207.5,212.7,206.0,206.95,208.27,27756.0,344.0,5780634.0,17853.0,64.32,6.7,-0.55
2018-11-05,206.05,209.0,203.3,207.4,205.5,33119.0,306.0,6805927.0,22992.0,69.42,5.7,1.35
2018-11-06,209.65,210.0,206.0,207.25,207.88,11148.0,191.0,2317451.0,2264.0,20.31,4.0,-2.4
2018-11-07,209.25,211.0,208.0,209.9,209.77,4483.0,71.0,940397.0,3287.0,73.32,3.0,0.65
2018-11-09,206.1,222.7,206.1,220.85,216.7,31904.0,673.0,6913697.0,13609.0,42.66,16.6,14.75
2018-11-12,220.0,228.25,218.45,224.65,223.57,40314.0,801.0,9013088.0,13688.0,33.95,9.8,4.65
2018-11-13,220.0,220.0,207.65,209.15,211.72,56800.0,992.0,12025943.0,25962.0,45.71,12.35,-10.85
2018-11-14,210.25,216.5,209.0,213.45,214.1,29959.0,566.0,6414309.0,11533.0,38.5,7.5,3.2
2018-11-15,215.5,215.5,208.0,209.15,209.78,13994.0,272.0,2935660.0,5319.0,38.01,7.5,-6.35
2018-11-16,210.5,212.9,208.5,209.2,210.23,16494.0,323.0,3467525.0,7101.0,43.05,4.4,-1.3
2018-11-19,210.9,210.9,205.3,206.05,207.65,15989.0,338.0,3320146.0,7262.0,45.42,5.6,-4.85
2018-11-20,206.4,207.55,200.65,202.45,204.32,13742.0,361.0,2807776.0,7039.0,51.22,6.9,-3.95
